RELATOCLIENTE;PROBLEMA
cliente entrou em contato informando que está sem sinal em sua internet, feito testes em sistema sem sucesso. ;Queda / Intermitência
CLIENTE COM QUEDAS REALIZEI OS TESTE E ENCAMINHEI Solicitação de Reset NGASP enviada com sucesso . CLIENTE GPON / SEM NGASP ;Queda / Intermitência
Cliente reclama de quedas e intermitência , procedimentos efetuados por favor tratar . Cliente não tem bloqueio em não tem massiva. ;Queda / Intermitência
CLIENTE INFORMA QUE INTERNET ESTA COM QUEDAS HÁ MAIS DE 1 MÊS, FEITO OS PROCEDIMENTOS EM LINHA E NÃO FOI NORMALIZADO, O MESMO CONTINUA COM AS QUEDAS (OBS: MAQUINA NÃO MAPEIA PRINT) ;Queda / Intermitência
CLIENTE COM QUEDAS INTERMITENTES  ORIENTADO DO PROTOCOLO ENCAMINHADO E AGUARDA 48 HORAS ;Queda / Intermitência
Procedimentos realizados cliente reclamando de quedas.ONT Last Down Time 2020-12-28 19:44:52 Line Fiber Attenuation está verde. Cliente não tem computador. ;Queda / Intermitência
CLIENTE INFORMA QUE ESTA TENDO QUEDAS CONSTANTES NA CONEXAO . REALIZADOS OS TESTES COM SUCESSO . O MESMO CIENTE CASO O PROBLEMA PERSISTA RETORNAR A LIGAÇÃO. ;Queda / Intermitência
cliente informa esta tendo quedas constantesde acordo com o ngasp a mesma consta 100 quedas dentro das ultimas 24 horas;Queda / Intermitência
Cliente sem massiva e sem bloqueios, mas com bastantes quedas na conexão, foi feito os testes, para vê se normalizava e no ngasp consta Fast Retrain (REINIT) -REINIT over limit -28 Loss of Power (LPR DWN) -Dying Gasp Arrived -273 ;Queda / Intermitência
cliente informa que esta sem conexão , feito os procedimentos , conexão voltou ao normal ;Queda / Intermitência
Cliente informa estar com quedas na conexão feito teste com sucesso. ;Queda / Intermitência
cliente informa que esta tendo muitas quedas e ja foi feito outros procedimentos e voltou a cair , feito os procedimentos e caiu novamente ;Queda / Intermitência
